name,surname,id,email,password,pin
john,deez,0210085197080,asf@gmail.com,CZbUlj2!`F!e,12345
andrea,goodall,0101100528088,goodall.andrea.ag.ag@gmail.com,[)|$AD[D5a*`,12345
abubakr,adamson,0200851970802,abubakr.adamson@gmail.com,"`.lA1,c'R'>J",12345
john,deez,0210085197080,asf@gmail.com,CZbUlj2!`F!e,12345
john,deez,0210085197080,asf@gmail.com,CZbUlj2!`F!e,12345
john,deez,0210085197080,asf@gmail.com,CZbUlj2!`F!e,12345
john,deez,0210085197080,asf@gmail.com,CZbUlj2!`F!e,12345
john,deez,0210085197080,asas@gmail.com,"!b""7@vrACn{&",12345
john,deez,0210085197082,asf@gmail.com,"+,1O9T:i/w]c",12345
john,doe,0210085197082,asf@gmail.com,3LtzT/faRi/9,12345
